V1	V2
KOG1721	KOG1343
KOG1721	KOG1343
KOG1721	KOG1343
KOG1778	KOG1778
KOG1778	KOG1472
KOG1778	KOG3561
KOG1778	KOG1472
KOG1778	KOG3561
KOG1472	KOG3561
KOG3560	KOG3561
KOG0933	KOG2328
KOG0933	KOG0414
KOG0933	KOG2025
KOG0933	KOG0996
KOG2328	KOG0414
KOG2328	KOG2025
KOG2328	KOG0996
KOG0414	KOG2025
KOG0414	KOG0996
KOG2025	KOG0996
ENOG502QW8U	ENOG502QSIZ
ENOG502QSBH	ENOG502QRQB
ENOG502QSBH	KOG3621
ENOG502QRQB	KOG3621
KOG1440	KOG2379
KOG3621	ENOG502QSBH
KOG3621	ENOG502QRQB
ENOG502QSBH	ENOG502QRQB
KOG1342	KOG0273
KOG1342	KOG1878
KOG1342	ENOG502RFJB
KOG1342	KOG0303
KOG1342	KOG0273
KOG0273	KOG1878
KOG0273	ENOG502RFJB
KOG0273	KOG0303
KOG0273	KOG0273
KOG1878	ENOG502RFJB
KOG1878	KOG0303
KOG1878	KOG0273
ENOG502RFJB	KOG0303
ENOG502RFJB	KOG0273
KOG0303	KOG0273
ENOG502S07W	KOG3390
ENOG502S07W	ENOG502RZCG
ENOG502S07W	KOG4559
ENOG502S07W	ENOG502S2QH
ENOG502S07W	ENOG502QRS9
ENOG502S07W	ENOG502S1N9
ENOG502S07W	ENOG502RZNC
KOG3390	ENOG502RZCG
KOG3390	KOG4559
KOG3390	ENOG502S2QH
KOG3390	ENOG502QRS9
KOG3390	ENOG502S1N9
KOG3390	ENOG502RZNC
ENOG502RZCG	KOG4559
ENOG502RZCG	ENOG502S2QH
ENOG502RZCG	ENOG502QRS9
ENOG502RZCG	ENOG502S1N9
ENOG502RZCG	ENOG502RZNC
KOG4559	ENOG502S2QH
KOG4559	ENOG502QRS9
KOG4559	ENOG502S1N9
KOG4559	ENOG502RZNC
ENOG502S2QH	ENOG502QRS9
ENOG502S2QH	ENOG502S1N9
ENOG502S2QH	ENOG502RZNC
ENOG502QRS9	ENOG502S1N9
ENOG502QRS9	ENOG502RZNC
ENOG502S1N9	ENOG502RZNC
KOG3390	ENOG502RZCG
KOG3390	ENOG502S2QH
KOG3390	ENOG502S1N9
KOG3390	ENOG502QRS9
KOG3390	KOG4559
KOG3390	ENOG502RZNC
KOG3390	ENOG502S07W
ENOG502RZCG	ENOG502S2QH
ENOG502RZCG	ENOG502S1N9
ENOG502RZCG	ENOG502QRS9
ENOG502RZCG	KOG4559
ENOG502RZCG	ENOG502RZNC
ENOG502RZCG	ENOG502S07W
ENOG502S2QH	ENOG502S1N9
ENOG502S2QH	ENOG502QRS9
ENOG502S2QH	KOG4559
ENOG502S2QH	ENOG502RZNC
ENOG502S2QH	ENOG502S07W
ENOG502S1N9	ENOG502QRS9
ENOG502S1N9	KOG4559
ENOG502S1N9	ENOG502RZNC
ENOG502S1N9	ENOG502S07W
ENOG502QRS9	KOG4559
ENOG502QRS9	ENOG502RZNC
ENOG502QRS9	ENOG502S07W
KOG4559	ENOG502RZNC
KOG4559	ENOG502S07W
ENOG502RZNC	ENOG502S07W
KOG0545	KOG0019
KOG0545	KOG0019
KOG0545	KOG3560
KOG0019	KOG0019
KOG0019	KOG3560
KOG0019	KOG3560
KOG0211	KOG3547
KOG1523	KOG2826
KOG1523	KOG3155
KOG1523	KOG3380
KOG1523	KOG1876
KOG1523	KOG0678
KOG1523	KOG0677
KOG2826	KOG3155
KOG2826	KOG3380
KOG2826	KOG1876
KOG2826	KOG0678
KOG2826	KOG0677
KOG3155	KOG3380
KOG3155	KOG1876
KOG3155	KOG0678
KOG3155	KOG0677
KOG3380	KOG1876
KOG3380	KOG0678
KOG3380	KOG0677
KOG1876	KOG0678
KOG1876	KOG0677
KOG0678	KOG0677
KOG0651	KOG3129
KOG4470	KOG4470
KOG1463	KOG1498
KOG1463	KOG3129
KOG1463	KOG1555
KOG1463	KOG2581
KOG1463	KOG4412
KOG1463	KOG0652
KOG1463	KOG0729
KOG1463	KOG0727
KOG1463	KOG3151
KOG1463	KOG1556
KOG1463	KOG2884
KOG1463	KOG0726
KOG1463	KOG0728
KOG1463	KOG0651
KOG1463	KOG2005
KOG1463	KOG4413
KOG1463	KOG2062
KOG1498	KOG3129
KOG1498	KOG1555
KOG1498	KOG2581
KOG1498	KOG4412
KOG1498	KOG0652
KOG1498	KOG0729
KOG1498	KOG0727
KOG1498	KOG3151
KOG1498	KOG1556
KOG1498	KOG2884
KOG1498	KOG0726
KOG1498	KOG0728
KOG1498	KOG0651
KOG1498	KOG2005
KOG1498	KOG4413
KOG1498	KOG2062
KOG3129	KOG1555
KOG3129	KOG2581
KOG3129	KOG4412
KOG3129	KOG0652
KOG3129	KOG0729
KOG3129	KOG0727
KOG3129	KOG3151
KOG3129	KOG1556
KOG3129	KOG2884
KOG3129	KOG0726
KOG3129	KOG0728
KOG3129	KOG0651
KOG3129	KOG2005
KOG3129	KOG4413
KOG3129	KOG2062
KOG1555	KOG2581
KOG1555	KOG4412
KOG1555	KOG0652
KOG1555	KOG0729
KOG1555	KOG0727
KOG1555	KOG3151
KOG1555	KOG1556
KOG1555	KOG2884
KOG1555	KOG0726
KOG1555	KOG0728
KOG1555	KOG0651
KOG1555	KOG2005
KOG1555	KOG4413
KOG1555	KOG2062
KOG2581	KOG4412
KOG2581	KOG0652
KOG2581	KOG0729
KOG2581	KOG0727
KOG2581	KOG3151
KOG2581	KOG1556
KOG2581	KOG2884
KOG2581	KOG0726
KOG2581	KOG0728
KOG2581	KOG0651
KOG2581	KOG2005
KOG2581	KOG4413
