Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	1_01	1_02	1_03	1_04	1_05	1_06	1_07	1_08	1_09	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	2_01	2_02	2_03	2_04	2_05	2_06	2_07	2_08	2_09	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	3_01	3_02	3_03	3_04	3_05	3_06	3_07	3_08	3_09	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	4_01	4_02	4_03	4_04	4_05	4_06	4_07	4_08	4_09	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	4_24	4_25	4_26	4_27	4_28	4_29	4_30	4_31	4_32	4_33	4_34	4_35	4_36	4_37	4_38	4_39	4_40	5_01	5_02	5_03	5_04	5_05	5_06	5_07	5_08	5_09	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	5_24	5_25	5_26	5_27	5_28	5_29	5_30	5_31	5_32	5_33	5_34	5_35	5_36	5_37	5_38	5_39	5_40	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23	6_24	6_25	6_26	6_27	6_28	6_29	6_30	6_31	6_32	6_33	6_34	6_35	6_36	6_37	6_38	6_39	6_40	7_1	7_2	7_3	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	7_17	7_18	7_19	7_20	7_21	7_22	7_23	7_24	7_25	7_26	7_27	7_28	7_29	7_30	7_31	7_32	7_33	7_34	7_35	7_36	7_37	7_38	7_39	7_40	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	8_29	8_30	8_31	8_32	8_33	8_34	8_35	8_36	8_37	8_38	8_39	8_40	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	9_18	9_19	9_20	9_21	9_22	9_23	9_24	9_25	9_26	9_27	9_28	9_29	9_30	9_31	9_32	9_33	9_34	9_35	9_36	9_37	9_38	9_39	9_40	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36	10_37	10_38	10_39	10_40
A0A087ZYQ1	A0A087ZYQ1	A0A087ZYQ1_APIME	411014	Malate dehydrogenase	54227.6	17020.8	12284.5	15489.6	12064.3	8809.5	8612.14	9419.81	9121.28	13188.6	32916.1	22357.2	13169.6	14083.8	15926.1	12070.5	10803.8	26362.3	212323	499347	309373	147778	105976	60297.1	65321.4	48748.9	29748.8	37041.9	55594.6	58299.9	59721.7	80858.8	85314.1	69387	69483.5	71592.5	82634.4	69949.3	90083.6	74302.5	7222.95	9868.82	11641.4	9347.3	7898.64	6877.2	3970.83	6552.41	6906.09	6602.2	7113.42	5463.56	6035.09	5829.1	5996.23	3973.84	6410.74	33041.1	224071	351137	260973	156329	72243	81699.3	66800.6	38549.6	36552.3	42399.2	38417.4	74194.5	74400.7	92078.3	103914	84229.9	135360	96109.7	318697	115407	88190.5	89629.5	8744.86		9421.55	12217.8	9952.29	6863.98		6200.22	7360.56	10170.2	7437.96	9463.3	10115.2	10718.8	11382	8909.81	11090.6	50430.6	314187	395521	184819	158212	101550	69940.7	29946.8	12360.7	21200	14384	50467.7	61623.8	49299.8	43693.4	50547.2	31708.5	53460.7	108914	60490	71445.2	82235.7	87394	20701.6		16880	9605	17698.8			8444.55				6219.03	14530.3	8903.33		6365.01	16515.1	7143.28	9241.92	48510.5	108844	410264	227068	122048	94313.7	76950.4	39251.5	18388.9	11006.5	17186.7	30826	43276.3	58039.9	58903.4	55625	48333.1	45379	57744	48390	39805.7	14064	5220.68	6913.04	11727	13669.8	9184.9	6736.01	4857.25	3526.3	4815.51	4062.91	4037.51	4316.04	5716.41	7051.03	5188.35	5180.95	6118.33	22780.9	183710	429867	281469	182132	106338	84002.3	36787.7	12112.4	10337.1	14942.9	11996.9	33956.5	55535.5	54390.1	61854.5	77663.1	80354.2	83973.5	78374.2	77747	73613.1	18698.7	15472.8	19530.7	14402.6	14258.7	12091.7	37994.9	28634.1	26930.6	25106.1	12564.6	8839.3	10385.4	10232.6	7824.26	8506.98	11166.4	12106.8	12660.3	10006.8	9380.64	18397.5	114249	416445	324344	210238	106953	71689.1	71286.1	51551	44492	77235.3	70125.6	64711.5	69312.1	81857.4	79918.2	72702.2	62683	57131	18680.5	12375.4	18284.2	9342.76		13498.4		8547.02	2931.39	2122.28	4101.74	6952.77	6419.78	7255.15	6165.14	7529.81	5326.58	6512.8	6419.77	22036.6	158118	291391	217486	125663	51358.4	47463.4	31091.1	19536.7		10438.1	33023	44681.6	43339.1	44831.6	46621.4	40087	29983.3		25079	25604.7			10533.7		21096.8			11712.3	5519.23		4490.37	5682.99	7983.64		4035.27	6269.59	4275.59	5706.29	5479.32	47639.2	195939	336622	98466.4	54136.8	50320.9	53715.7	31592.6	26691.1	27614.7	42471.3	43228.2	35570.9	47565.6	35835.9	54631.5	40205.3	45771.6	45846.4	61320.6	59248.3	12326.4	14242.1			13255.8		9774.19	3451.82		9701.1	13416.3	8399.58	14658.9	10398	18022.2	10457.6	8047.85	8397.34	25923.2	189185	608782	318859	140283	106984	63689.9	29853.1	52444.5	7683.7	8714.97	17551.6	34254.3	42260.9	74789.6	42197.9	39311.4	69578.8	46586.6	43025	23911.3	48564	33224	11971.6	10822.9	10966.7	10636.3			5893.28	6293.73	5864.76	6517.94	9453.12	10822.5	6928.08	9801.74	6318.84	6333.41	5559.36	11352.6	123017	493775	414829	176231	103821	82107.3	56156.5	105545	23645.4	71927.8	38435.8	29030.9	31676.8	76629.8	35451	37982.6	51023.5	45969.8	40735	46135.5	32616.7
A0A087ZYX8;A0A7M7L3N3	A0A7M7L3N3;A0A087ZYX8	A0A087ZYX8_APIME;A0A7M7L3N3_APIME	409143	Venom serine protease 34										2314.08			3676.07		3034.14	1543.3	1788.27	1949.27	1226.04	2118.69	2012.4	2276.25	2523.63	1460.17	2893.42	3016.45																										1286.83	770.519	1024.72	896.248	828.487	939.711	941.409	617.708	1294.72	1168.68	1166	1204.05	1800.45	1814.51																												1674.29	1980.45	2172.46	1573.28	1140.02		466.082			1875.74	1803.83	1610.24	1370.74																																				1009.91	1144.73		951.237	1433.53	1401.27																						1910.31				1005.65	2373.22	1972.12	2284.72	2359.35	1725.31	1798.01		270.924	438.698	810.904	1687.71	1705.16	1459.17	1086.77																																						758.028	700.91	979.225	1843.45	1790.14	2421.48	2250.94																			1720.45					1053.87									557.246		1051.81	1666.4																																							1048.95																														1553.91	846.71			793.101	546.27		685.001	1304.15	1138.03	2016.11	1936.87																											1315.29						606.749	345.51	820.016	814.623	804.329	1317.67	1243.76	2281.71	995.627		1072.1											
A0A088A0N5;A0A7M7FZ16;A0A7M7LKA7	A0A7M7LKA7;A0A7M7FZ16;A0A088A0N5	A0A088A0N5_APIME;A0A7M7FZ16_APIME;A0A7M7LKA7_APIME	724633;725344;726447	Histone H2B	7935.32																																														2201.11	2428.95																																	5910.55				3761.25	3441.58		2438.91	3838.45																																																																								5753.37	3522	6940.52			2586.62			2797.54			2304.3																																																																					5502.24																																																																																				5047.83																																						3753.08																																					
A0A088AHC8	A0A088AHC8	A0A088AHC8_APIME	410122	Glyceraldehyde-3-phosphate dehydrogenase	179463	170740	116195	107259	80113.5	100535	77843.4	86107.7	86239.7	113948	137823	130682	139155	223076	517109	1.33E+06	899954	426983	155324	130557	86795.2	141975	112209	230362	94424.4	102726	96999.1	120132	144620	128396	134516	105239	169778	229834	218388	289075	239448	217230	251699	229615	300693	146476	90277.6	63210.9	54143.5	50090.6	58016.5	74935.6	67624.2	69087.9	71324.3	85775.2	107669	171344	471534	718949	740985	301177	128961	63928.1	63607.2	79614.7	387760	104382	137293	92598.2	110585	114738	83331.1	115263	124673	160798	156817	190821	345124	243582	555440	237595	247806	198378	56734.7	114040	46267.1	57733.6	28527.1	38473	35289.6	48074.8	54136.4	62593.9	60599.8	71311.9	89852.1	130506	474595	893477	745489	293975	119844	98877.3	46005.8	52773.2	52219.2	70172.4	62546	51967.2	74245.9	59475.7	71205.1	55835.9	83493.1	79453.2	129080	105764	111064	44917.3	193263	194105	268392	168890	189027		173557	108290	69332.6			47490.7	49624	47695.1		79120.7	90237.7	93536.1	182175	182311	539413	706846	1.52E+06	250897	313053	96682.4	66617.4	75607.1	96570.2	72086.3	49090.2	51275.2	61360.1	83947.9	103259	105776	98633.1	186181	140961	171722	229972	285937	299158	282537	91914	96562.4	79996.4	59934.4	39931.5	39347.6	42251	34921.1	36937.9	55805.5	46741.3	62767.9	60180	70941.5	124690	299483	665912	816482	463651	134991	104971	59641	64489.9	69735	78848.3	83123.7	68424	66229.9	69424.7	65438.4	83231.6	86475.5	115156	139457	177071	180948	198335	203389	240765	220179	204383	223789	306702	370461	352091	380347	309208	259237	254038	178550	144684	146420	132892	145430	150210	160865	145709	178561	392474	881424	828824	747050	201898	138483	78802.9	67515.3	61033.9	72550.1	93747.5	244323	115255	117541	129807	141432	143704	342368	361576	215221	226707	230312	61913.4	84096.2	128195	44479.2	31113.3	26929.8	233556	26690.5	26054.9	25431.6	30614.8	32137	42542.6	52405.6	62258.4	126572	472222	626130	472072	103954	55015.3	43772.6	36694.5	39197.9	35411.7	46442.9	46585.5	77472.8	77946.7	89943.3	83977.5	132880	66549.8	61369.6	106147	143450	83469.1	90862.9	131016	101636	135277	287042	91563.1	60871.3	114212	47746.6	22855.9	71233.4	29069.7	38177.1	44388.2	39799.3	42587.8	49731.2	71570	109527	390561	575322	248802	102193	33876.5	32553.3	51141.5	63694.5	45261.8	63481.4	84472	59504	34085.6	120100	54722.6	63876.4	95283.7	118762	184568	209493	260887	261604	300013	239671	96246.1	132039		134790	75751.1	70839.1	66784.2	46207	50017.3	54607	71380	89184.5	131923	79910.1	159996	367028	1.02E+06	896927	405196	91724.7	72130	20061.2	22349.9	32343.8	176228	73016.1	136527	73832.6	108981	125890	86325	86987.7	111308	129460	108520	177767	134180	159623	146162	208333	156724	188219	153440	78255.3	85820.4	65780	75729.5	48809.7	38144	45257.5	40124.3	57532.5	60304	64010.7	98624.7	245365	662087	678914	489357	170391	120053	69417.3	52673.5	221981	58096.2	55374.1	102957	60575.4	87173.1	74480	50527.4	75271	81799	112774	144366	189885	196578	167701	214771	288000
A0A0F9W9W3	A0A0F9W9W3	A0A0F9W9W3_9MICR	AAJ76_7500017326	Uncharacterized protein																																																																																																																																														611.399																																																																																	377.86	1696.19	966.829	688.229																																																																																																																																																																														
A0A0F9WB97	A0A0F9WB97	A0A0F9WB97_9MICR	AAJ76_4300018819	M7 diphosphatase-like protein																																																											107.64	206.286																																																																																																																																																																				281.706	354.73				266.406																																																																																																																																																																											
A0A0F9WBF7	T0LD96;T0MG52;A0A0F9WBF7	A0A0F9WBF7_9MICR	AAJ76_970005584	Acetyl-coenzyme a synthetase																																																															1243.43							24391.3	48958.2	37421.8	23098.1	17774.1		17013.6		18026.3	9445.19	9317.89																																																																											13826.3			6450.87	10615.8	15341.4																																																																																																																																																								34875.6	60225.4	16714.1	32525.1		27740.3		16275.8	16005.5																			2710.06																																								2249.71													20341.8	22455.5				10522.5			14456.7
A0A0F9WD47	A0A0F9WD47	A0A0F9WD47_9MICR	AAJ76_230009945	Protein transport protein SEC31																								6124.64																																									4399.22	13753.3	17595.4	7473.91												5569.11																																																																				4020.03	6501.07	3282.86	2750.17			25276.4	22599.8	23228.9		8931.27		19335.9																																																																						5221.38	8577.12		9473.75																																																																									7240.54	32970.1	27622.9	26138.9	31256.2																																																																													2944.52	7100.47	4753.27											
A0A0F9WDB2	A0A0F9WDB2	A0A0F9WDB2_9MICR	AAJ76_210003439	Superoxide dismutase																																																													303.338	341.054																																	748.242																																																																																	419.552																																																	468.695	690.982			1255.39																																																																																																																																																																											
A0A0F9WDM5	A0A0F9WDM5	A0A0F9WDM5_9MICR	AAJ76_1800025228	Glutamyl trna synthetase																																																																																																																						6113																																																																																																									1071.48	1242.29																																																																																																																																																																							7423.85									
